"dist_bp","r2"
662928,0.0590062926270549
31,1
912465,0.0316566149779148
311157,0.0491133046183077
28,0.0908516542384488
121718,0.0870236288257608
356771,0.0499786126201667
10504,0.00438858054769244
863802,7.72664456404659e-05
346931,0.895252021450006
2,1
230,0.913139134819366
974312,0.0176027886920919
947916,0.00780008360789922
674547,0.00706812508804319
248552,0.734493187764237
9299,0.804293686354391
38779,0.808707646811363
343384,0.853735228776323
667701,0.50776096096364
263286,0.571467709848943
7447,0.0439945911292692
357872,0.0364570750550136
2,1
397487,0.802497323779329
298179,0.77845130827176
2,1
111953,0.219037882304165
95,0.232925175435973
867084,0.10290710362567
868812,0.389805941501124
861,0.188654095273746
18,0.2002032087027
9,0.2002032087027
18227,0.182349302636825
696786,0.00595238295536272
101087,0.00489614839789264
14963,0.0769221867725971
267990,0.260628366537615
12781,0.299260525476176
457580,0.249831570474163
7,0.344853448468507
6,0.0632067755297435
57,0.181005086584701
21,0.328018360261656
493489,0.877243431672063
372404,0.0610535181359164
94856,0.358677903526745
496022,0.827705715411008
24,0.545430349496071
4,0.545430349496071
378089,0.871270263647345
277474,0.140179412482976
16,0.342985496390601
205849,0.856374466369307
289850,0.310445484956265
322944,0.885167410936146
17,1
4323,0.894500695042689
7708,0.905216793092254
19851,0.901907858115363
17,0.969826906684607
106022,0.437243750268126
20,1
12,1
6,1
164,0.915484486796359
310234,0.889613763907523
143296,0.74272331749272
52,0.919613785901259
812625,0.204464486891617
16387,0.931555225187545
45341,0.00207104895058254
17184,0.0025301719420558
48352,0.905031999676916
634060,0.259131843655031
102431,0.786232593427
32,0.108912305985164
13269,0.0209055109492753
1389,0.0452618367731901
218206,0.549964774984295
50230,0.822653742075258
676,0.816799507106694
3298,0.000840807425731002
90671,0.000766742467956462
15751,0.873148623084773
110,0.882513895881811
3068,0.870138994551976
3776,0.904090467612238
5173,0.894992665084787
26,0.139227736040691
180105,0.0846961277269923
188437,0.0150780054536261
1890514,0.407311373663933
136157,0.0137487594010473
19,0.00608771316944248
30782,0.850918806652649
46348,0.920156198931309
388440,0.851064632640678
144060,0.912135952399785
113543,0.925757118355775
10670,0.912222691167336
118959,0.881791627611243
61071,0.00776989922300129
1650765,0.671647556445227
31355,0.0326636922430476
17068,0.893579465266618
44,0.0289519483085826
261857,0.0081573566545765
138,0.931244771388539
186478,0.108082097949144
30,0.0681420917176511
676373,0.709925167396078
193397,0.874044062510595
58,0.997991664263487
244903,0.838172368322832
170785,0.810626646402531
9,1
53664,0.840914794299515
1236204,0.859501309006917
597,0.93103574003577
762961,0.897041961241284
68872,0.0877576314115733
267765,0.00173170634878845
16,1
4,1
16,0.977947093983768
66475,0.00631085969203903
50,0.999999999999999
3,0.999999999999999
3299009,0.000462730990497685
460064,0.0617853971419441
464537,0.823822743936587
70968,0.079346307520452
76835,0.664511220238286
94126,0.666560105492817
28,0.73384786764656
98785,0.0558228056996188
19,0.0584751794382402
120783,0.436832639841514
244396,0.455453325384188
